win_blue,firstBlood_ours,firstTowerKill_ours,firstInhibitorKill_ours,firstBaron_ours,firstDragon_ours,firstRiftHerald_ours,4dragons_ours,olddragon_ours,kda_ours,kda_enemy,level_diff_ours_minus_enemy,inhibitorKills_gap_ours_minus_enemy,baronKills_gap_ours_minus_enemy,dragonKills_gap_ours_minus_enemy,riftHeraldKills_gap_ours_minus_enemy
1,True,True,True,False,True,False,0,0,3.2322559146951013,1.606569082470546,33.0,1,0,1,-1
1,False,False,True,True,False,True,0,0,5.155181483429773,0.9086778736937755,35.0,1,1,-2,2
1,True,True,True,False,True,True,0,0,5.197401299350324,0.8384392131570461,31.0,1,0,3,2
1,False,False,True,False,True,False,0,0,3.9257673090649536,0.8883953359244863,23.0,1,0,3,0
1,False,False,True,False,True,True,0,0,3.7827614158335585,2.132622459180273,35.0,1,0,2,1
1,True,True,True,True,False,True,0,0,3.885480572597137,1.139772045590882,33.0,2,1,2,2
1,True,True,True,False,False,True,0,0,4.1522491349480966,1.2937371361364305,29.0,1,0,-1,2
0,False,False,False,False,False,True,0,0,0.7928300586004825,8.183632734530939,8.0,-1,0,-1,1
0,False,False,False,False,False,False,0,0,1.1609158336020637,10.379241516966069,14.0,-2,0,0,-2
0,False,False,False,False,False,False,0,0,2.090433992274483,3.379343169919086,23.0,-1,-1,-2,-2
1,True,True,False,False,False,False,1,0,2.2687944626033456,3.309203722854188,32.0,-1,-1,1,-2
0,True,False,False,False,True,True,0,0,1.499423298731257,4.695304695304696,18.0,-2,-1,-2,1
0,True,False,False,False,False,False,0,0,1.3806236610330875,3.5482258870564714,21.0,-1,0,-3,-2
0,True,False,False,False,True,False,0,0,1.16634268258817,3.46435709526982,22.0,-1,-1,-1,-1
0,True,False,False,False,False,False,0,0,1.7493752231345947,3.3977348434377084,23.0,-3,-1,-4,-2
0,False,False,False,False,True,False,0,0,2.199511219728949,4.043616537937301,30.0,-5,-2,-3,-2
1,False,False,True,True,True,False,0,0,2.3494126468382905,1.6994335221592802,32.0,1,1,1,0
0,False,False,False,False,True,False,0,0,2.304915301305193,3.2088374539715936,25.0,-1,-1,-1,-2
0,False,False,False,False,False,False,0,0,1.5095079396196824,4.497501388117712,21.0,-2,0,-2,-2
1,False,True,True,False,False,True,0,0,4.284184219921457,1.5351660121385218,35.0,2,0,1,2
1,False,True,True,True,False,False,0,0,4.033092037228542,1.4511447920025797,35.0,2,1,1,0
0,False,False,False,False,False,False,0,0,1.2495537308104248,5.867665418227216,23.0,-1,0,-3,-2
0,False,False,False,False,True,False,0,0,1.8605942793668426,3.685196752029981,19.0,-2,-2,-1,0
0,False,False,False,False,False,True,0,0,1.3051930019439046,4.425410421127766,18.0,-1,-1,-3,0
1,True,True,True,False,True,True,0,0,4.990019960079841,1.2987012987012987,22.0,1,0,0,1
0,False,False,False,False,True,False,0,0,1.5828936406553735,5.812897366030881,23.0,-3,-1,0,-2
0,False,False,False,True,True,False,0,0,2.5996286244822167,1.8908932840686807,33.0,-4,1,-1,0
0,True,True,True,False,True,False,1,0,2.212295256328441,3.386004514672686,24.0,1,0,4,0
1,True,True,True,True,False,True,0,0,4.164931278633902,1.206480523957256,34.0,2,1,1,2
0,False,False,False,False,True,False,0,0,1.4663408131526328,7.22521137586472,20.0,-3,-1,1,0
0,True,False,False,False,False,False,0,0,1.5372790161414296,3.9920159680638725,12.0,-2,0,-1,-1
1,True,True,True,True,True,False,0,0,3.9019671073847144,1.9326891036321225,33.0,2,2,2,-1
0,False,True,False,False,False,True,0,0,0.9997222993612885,10.316139767054908,9.0,-1,0,-3,0
0,True,True,False,True,False,True,0,0,1.8119337706966574,6.1615320566194836,24.0,-1,1,-4,2
0,False,False,False,True,False,False,0,0,2.142347060223756,3.748125937031484,22.0,-1,0,-1,-1
1,False,True,False,True,True,True,0,0,3.399244612308376,2.215617400702513,35.0,0,2,-1,2
0,False,True,False,True,False,False,0,0,1.4779395783525322,4.547726136931534,26.0,-2,1,-4,-2
0,False,False,False,False,False,False,0,0,1.4281633818908883,4.8293089092422985,22.0,-1,-1,-4,-2
1,True,True,True,True,True,False,1,0,3.116730373419583,2.7988804478208715,29.0,3,0,3,-2
0,True,True,False,False,False,True,0,0,2.8710587028966934,2.955236853541938,27.0,-2,-1,-3,2
1,False,False,False,True,False,False,0,0,1.7031095484012746,1.4997656616153725,56.0,3,2,0,0
1,True,True,True,False,False,True,0,0,3.096805657156791,2.3117775695095286,36.0,1,0,-3,2
